COL	15070785	57	1787673444467087
COL	15070785	63	1787673444467765
COL	15070785	67	1787673444468068
COL	15070785	69	1787673444468322
COL	15070785	70	1787673444468667
COL	15070785	60	1787673444468903
COL	15070785	68	1787673444469235
COL	15070785	77	1787673444469424
COL	15070785	79	1787673444469673
COL	15070785	76	1787673444469849
COL	15070785	72	1787673444470288
COL	15070785	80	1787673444470424
COL	15070785	75	1787673444470654
COL	15070785	81	1787673444470822
COL	15070785	71	1787673444470951
COL	15070785	73	1787673444471165
COL	15070785	84	1787673444471362
COL	15070785	82	1787673444471554
COL	15070785	86	1787673444471989
COL	15070785	85	1787673444472162
COL	15070785	78	1787673444472400
COL	15070785	88	1787673444472629
COL	15070785	87	1787673444472799
COL	15070785	89	1787673444472960
COL	15070785	90	1787673444473228
COL	15070785	91	1787673444473467
COL	15070785	92	1787673444473645
COL	15070785	94	1787673444473838
COL	15070785	109	1787673444473889
COL	15070785	97	1787673444474023
COL	15070785	83	1787673444474249
COL	15070785	96	1787673444474513
COL	15070785	95	1787673444474662
COL	15070785	98	1787673444474951
COL	15070785	100	1787673444475236
COL	15070785	8	1787673444475502
COL	15070785	99	1787673444475510
COL	15070785	101	1787673444475695
COL	15070785	102	1787673444475899
COL	15070785	103	1787673444476125
COL	15070785	104	1787673444476364
COL	15070785	107	1787673444476836
COL	15070785	105	1787673444477148
COL	15070785	108	1787673444477294
COL	15070785	110	1787673444477500
COL	15070785	111	1787673444478693
COL	15070785	112	1787673444478695
COL	15070785	114	1787673444478958
COL	15070785	115	1787673444479227
COL	15070785	116	1787673444480223
COL	15070785	117	1787673444480306
COL	15070785	118	1787673444480309
COL	15070785	119	1787673444480603
COL	15070785	120	1787673444480735
COL	15070785	123	1787673444481010
COL	15070785	17	1787673444481060
COL	15070785	113	1787673444481243
COL	15070785	125	1787673444482407
COL	15070785	124	1787673444482543
COL	15070785	127	1787673444482592
COL	15070785	126	1787673444483289
COL	15070785	121	1787673444483467
COL	15070785	122	1787673444483655
COL	15070785	93	1787673444484397
COL	15070785	8	1787673444535488
COL	15070785	9	1787673444535493
COL	15070785	16	1787673444535499
COL	15070785	17	1787673444535504
COL	15070785	34	1787673444535509
COL	15070785	38	1787673444535514
COL	15070785	39	1787673444535519
COL	15070785	40	1787673444535524
COL	15070785	42	1787673444535529
COL	15070785	43	1787673444535534
COL	15070785	46	1787673444535539
COL	15070785	47	1787673444535544
COL	15070785	48	1787673444535549
COL	15070785	49	1787673444535554
COL	15070785	50	1787673444535559
COL	15070785	51	1787673444535564
COL	15070785	52	1787673444535569
COL	15070785	53	1787673444535573
COL	15070785	54	1787673444535578
COL	15070785	55	1787673444535583
COL	15070785	56	1787673444535588
COL	15070785	57	1787673444535593
COL	15070785	58	1787673444535597
COL	15070785	59	1787673444535602
COL	15070785	60	1787673444535607
COL	15070785	61	1787673444535611
COL	15070785	62	1787673444535616
COL	15070785	63	1787673444535621
COL	15070785	64	1787673444535627
COL	15070785	65	1787673444535632
COL	15070785	67	1787673444535637
COL	15070785	68	1787673444535642
COL	15070785	69	1787673444535647
COL	15070785	70	1787673444535652
COL	15070785	71	1787673444535656
COL	15070785	72	1787673444535661
COL	15070785	73	1787673444535666
COL	15070785	74	1787673444535671
COL	15070785	75	1787673444535676
COL	15070785	76	1787673444535681
COL	15070785	77	1787673444535685
COL	15070785	78	1787673444535690
COL	15070785	79	1787673444535914
COL	15070785	80	1787673444535920
COL	15070785	81	1787673444535924
COL	15070785	82	1787673444535932
COL	15070785	83	1787673444535936
COL	15070785	84	1787673444535940
COL	15070785	85	1787673444535952
COL	15070785	86	1787673444535956
COL	15070785	87	1787673444535961
COL	15070785	88	1787673444535965
COL	15070785	89	1787673444535969
COL	15070785	90	1787673444535974
COL	15070785	91	1787673444535978
COL	15070785	92	1787673444535983
COL	15070785	93	1787673444535987
COL	15070785	94	1787673444535992
COL	15070785	95	1787673444535996
COL	15070785	96	1787673444536001
COL	15070785	97	1787673444536006
COL	15070785	98	1787673444536011
COL	15070785	99	1787673444536016
COL	15070785	100	1787673444536020
COL	15070785	101	1787673444536024
COL	15070785	102	1787673444536029
COL	15070785	103	1787673444536034
COL	15070785	104	1787673444536038
COL	15070785	105	1787673444536042
COL	15070785	107	1787673444536047
COL	15070785	108	1787673444536052
COL	15070785	109	1787673444536056
COL	15070785	110	1787673444536060
COL	15070785	111	1787673444536065
COL	15070785	112	1787673444536070
COL	15070785	113	1787673444536074
COL	15070785	114	1787673444536079
COL	15070785	115	1787673444536083
COL	15070785	116	1787673444536087
COL	15070785	117	1787673444536092
COL	15070785	118	1787673444536096
COL	15070785	119	1787673444536101
COL	15070785	120	1787673444536105
COL	15070785	121	1787673444536109
COL	15070785	122	1787673444536114
COL	15070785	123	1787673444536119
COL	15070785	124	1787673444536123
COL	15070785	125	1787673444536127
COL	15070785	126	1787673444536131
COL	15070785	127	1787673444536135
DONE	15070785	-	1787673444536139
COL	15070785	74	1787673444632749
COL	15070785	0	1787674224557235
COL	15070785	14	1787674224557235
COL	15070785	13	1787674224557235
COL	15070785	12	1787674224557235
COL	15070785	11	1787674224557235
COL	15070785	10	1787674224557235
COL	15070785	9	1787674224557235
COL	15070785	8	1787674224557235
COL	15070785	7	1787674224557235
COL	15070785	6	1787674224557235
COL	15070785	5	1787674224557235
COL	15070785	4	1787674224557235
